combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
210,bio1_whs1_land3_list500_bld250,True,True,3,500,250,1451279,1400791,14544606463.6,1454460.6,14544.6,309.8
211,bio1_whs1_land3_list500_bld500,True,True,3,500,500,702434,686499,7051129805.8,705113.0,7051.1,151.8
212,bio1_whs1_land3_list500_bld750,True,True,3,500,750,336588,331544,3433294572.2,343329.5,3433.3,73.3
213,bio1_whs1_land3_list500_bld1000,True,True,3,500,1000,198620,195802,2044191201.2,204419.1,2044.2,43.3
214,bio1_whs1_land3_list500_bld1250,True,True,3,500,1250,89938,88531,938241129.1,93824.1,938.2,19.6
215,bio1_whs1_land3_list1000_bld250,True,True,3,1000,250,1348558,1305166,13491739340.8,1349173.9,13491.7,288.7
216,bio1_whs1_land3_list1000_bld500,True,True,3,1000,500,691248,676128,6937797709.0,693779.8,6937.8,149.5
217,bio1_whs1_land3_list1000_bld750,True,True,3,1000,750,336172,331136,3428815698.3,342881.6,3428.8,73.2
218,bio1_whs1_land3_list1000_bld1000,True,True,3,1000,1000,198614,195796,2044124847.6,204412.5,2044.1,43.3
219,bio1_whs1_land3_list1000_bld1250,True,True,3,1000,1250,89938,88531,938241129.1,93824.1,938.2,19.6
220,bio1_whs1_land3_list1500_bld250,True,True,3,1500,250,1204804,1171336,12020114101.6,1202011.4,12020.1,259.1
221,bio1_whs1_land3_list1500_bld500,True,True,3,1500,500,665958,652754,6682114836.5,668211.5,6682.1,144.4
222,bio1_whs1_land3_list1500_bld750,True,True,3,1500,750,332932,328033,3395251791.8,339525.2,3395.3,72.6
223,bio1_whs1_land3_list1500_bld1000,True,True,3,1500,1000,197550,194746,2032855779.8,203285.6,2032.9,43.1
224,bio1_whs1_land3_list1500_bld1250,True,True,3,1500,1250,89856,88450,937345354.4,93734.5,937.3,19.6
